22:32:09.169947,-0.028,0.034,1.017
22:32:09.472864,-0.026,0.023,1.017
22:32:09.761842,-0.025,0.028,1.018
22:32:10.053764,-0.014,0.026,1.017
22:32:10.345753,-0.01,0.022,1.02
22:32:10.637680,-0.013,0.025,1.02
22:32:10.928652,-0.021,0.026,1.02
22:32:11.220171,-0.026,0.029,1.02
22:32:11.511605,-0.029,0.027,1.018
22:32:11.820043,-0.029,0.025,1.019
22:32:12.114595,-0.011,0.027,1.018
22:32:12.401610,-0.015,0.023,1.018
22:32:12.701869,-0.018,0.028,1.02
22:32:13.012280,-0.031,0.022,1.019
22:32:13.310875,-0.008,0.025,1.02
22:32:13.609087,-0.016,0.024,1.02
22:32:13.908770,-0.007,0.022,1.019
22:32:14.206782,-0.02,0.023,1.02
22:32:14.505664,-0.032,0.025,1.019
22:32:14.801890,-0.03,0.027,1.02
22:32:15.100362,-0.019,0.024,1.021
22:32:15.399313,-0.011,0.02,1.02
22:32:15.698450,-0.016,0.023,1.02
22:32:16.006905,-0.016,0.021,1.019
22:32:16.304177,-0.012,0.021,1.02
22:32:16.602588,-0.024,0.023,1.019
22:32:16.900789,-0.034,0.021,1.018
22:32:17.198969,-0.027,0.022,1.017
22:32:17.497508,-0.033,0.022,1.019
22:32:17.797612,-0.02,0.027,1.02
22:32:18.095484,-0.022,0.035,1.018
22:32:18.392095,-0.023,0.036,1.017
22:32:18.691050,-0.024,0.007,1.018
22:32:18.989177,-0.029,0.027,1.017
22:32:19.287722,-0.026,0.015,1.018
22:32:19.587838,-0.027,0.015,1.018
22:32:19.886412,-0.026,0.023,1.018
22:32:20.181998,-0.017,0.013,1.021
22:32:20.480740,-0.018,0.011,1.02
22:32:20.779156,-0.024,0.032,1.018
22:32:21.077363,-0.028,0.033,1.018
22:32:21.376697,-0.027,0.019,1.019
22:32:21.675059,-0.023,0.03,1.02
22:32:21.971865,-0.025,0.007,1.023
22:32:22.270145,-0.028,0.015,1.02
22:32:22.568679,-0.027,0.029,1.019
22:32:22.866789,-0.022,0.055,1.021
22:32:23.162162,-0.022,0.008,1.02
22:32:23.460708,-0.025,0.022,1.021
22:32:23.747874,-0.022,0.037,1.02
22:32:24.034789,-0.03,0.005,1.019
22:32:24.322004,-0.025,0.007,1.021
22:32:24.609168,-0.026,0.005,1.018
22:32:24.896206,-0.026,0.002,1.019
22:32:25.183992,-0.03,0.02,1.021
22:32:25.471064,-0.028,0.032,1.02
